Sigla OACI;DescriÁ„o;Cidade;UF;PaÌs;Continente
EBCI;BRUSSELS SOUTH CHARLEROI AIRPORT;;;BELGICA;EUROPA
EBLG;LIEGE AIRPORT;LIEGE;;BELGICA;EUROPA
EBOS;OSTEND-BRUGES INTERNATIONAL AIRPORT;OOSTENDE;;BELGICA;EUROPA
EDDB;BERLIN-SCH√ñNEFELD INTERNATIONAL AIRPORT;BERLIN SCHOENEFELD;;ALEMANHA;EUROPA
EDDF;FRANKFURT INTERNATIONAL AIRPORT;FRANKFURT;;ALEMANHA;EUROPA
EDDH;HAMBURG AIRPORT;HAMBURG;;ALEMANHA;EUROPA
EDDK;COLOGNE BONN AIRPORT;KOLN-BONN;;ALEMANHA;EUROPA
EDDL;DUSSELDORF INTERNATIONAL AIRPORT;DUSSELDORF;;ALEMANHA;EUROPA
EDDM;MUNICH INTERNATIONAL AIRPORT (FRANZ JOSEF STRAU√ü INTERNATIONAL AIRPORT);MUNCHEN;;ALEMANHA;EUROPA
EDDR;SAARBRUCKEN AIRPORT;SAARBRUCKEN;;ALEMANHA;EUROPA
EDDS;STUTTGART ECHTERDINGEN AIRPORT;;;ALEMANHA;EUROPA
EDDT;TEGEL INTERNATIONAL AIRPORT;BERLIN TEGEL;;ALEMANHA;EUROPA
EDDV;HANOVER/LANGENHAGEN INTERNATIONAL AIRPORT;HANNOVER;;ALEMANHA;EUROPA
EDFH;FRANKFURT-HAHN AIRPORT;HAHN;;ALEMANHA;EUROPA
EDHI;HAMBURG FINKENWERDER AIRPORT;HAMBURG-FINKENWERDER;;ALEMANHA;EUROPA
EGBB;BIRMINGHAM AIRPORT;BIRMINGHAM;;REINO UNIDO;EUROPA
EGBP;COTSWOLD AIRPORT;;;REINO UNIDO;EUROPA
EGDX;MOD SAINT ATHAN;ST ATHAN;;REINO UNIDO;EUROPA
EGGW;LONDON LUTON AIRPORT;LUTON;;REINO UNIDO;EUROPA
EGHL;LASHAM AIRFIELD;LASHAM;;REINO UNIDO;EUROPA
EGKK;LONDON GATWICK AIRPORT;LONDRES;;REINO UNIDO;EUROPA
EGLL;LONDON HEATHROW AIRPORT;LONDRES;;REINO UNIDO;EUROPA
EGMH;KENT INTERNATIONAL AIRPORT;;;REINO UNIDO;EUROPA
EGNL;BARROW/WALNEY ISLAND AIRFIELD;;;REINO UNIDO;EUROPA
