Sigla OACI;DescriÁ„o;Cidade;UF;PaÌs;Continente
MDLR;LA ROMANA INTERNATIONAL AIRPORT;LA ROMANA;;REPUBLICA DOMINICANA;AMERICA CENTRAL
MDPC;PUNTA CANA;PUNTA CANA;;REPUBLICA DOMINICANA;AMERICA CENTRAL
MDSD;SAO DOMINGO/DE LAS AMERICAS;SAO DOMINGO/DE LAS AM…RICAS;;REPUBLICA DOMINICANA;AMERICA CENTRAL
MGGT;AEROPORTO INTERNACIONAL LA AURORA;GUATEMALA/LA AURORA;;GUATEMALA;AMERICA CENTRAL
MKJP;KINGSTON/NORMAN MANLEY INTL;KINGSTON/NORMAN MANLEY INTL;;JAMAICA;AMERICA CENTRAL
MMAA;GENERAL JUAN N. √ÅLVAREZ INTERNATIONAL AIRPORT;ACAPULCO/GEN.JUAN ALVAREZ;;MEXICO;AMERICA DO NORTE
MMGL;GUADALAJARA/INTL;GUADALAJARA/INTL;;MEXICO;AMERICA DO NORTE
MMMA;GENERAL SERVANDO CANALES INTERNATIONAL AIRPORT;N√O INFORMADO;N/I;MEXICO;AMERICA DO NORTE
MMMD;MERIDA;MERIDA;;MEXICO;AMERICA DO NORTE
MMMX;BENITO JUAREZ INTL;MEXICO;;MEXICO;AMERICA DO NORTE
MMMY;MONTERREY;MONTERREY;;MEXICO;AMERICA DO NORTE
MMPB;PUEBLA;PUEBLA;;MEXICO;AMERICA DO NORTE
MMPR;LIC. GUSTAVO D√çAZ ORDAZ INTERNATIONAL AIRPORT;PUERTO VALLARTA, JALISCO;;MEXICO;AMERICA DO NORTE
MMQT;ING. FERNANDO ESPINOZA GUTI√âRREZ INTERNATIONAL AIRPORT;COL”N;;MEXICO;AMERICA DO NORTE
MMSD;LOS CABOS INTERNATIONAL AIRPORT;;;MEXICO;AMERICA DO NORTE
MMTJ;TIJUANA;TIJUANA;;MEXICO;AMERICA DO NORTE
MMTO;TOLUCA;TOLUCA;;MEXICO;AMERICA DO NORTE
MMTP;TAPACHULA INTERNATIONAL AIRPORT;TAPACHULA;;MEXICO;AMERICA DO NORTE
MMUN;CANCUN/INTL;CANCUN/INTL;;MEXICO;AMERICA DO NORTE
MMVR;GENERAL HERIBERTO JARA INTERNATIONAL AIRPORT;;;MEXICO;AMERICA DO NORTE
MNMG;MANAGUA;MANAGUA;;NICARAGUA;AMERICA CENTRAL
MPHO;HOWARD AFB;HOWARD AFB;;PANAMA;AMERICA CENTRAL
MPPA;PANAMA PACIFICO, FORMERLY HOWARD AIR FORCE BASE;;;PANAMA;AMERICA CENTRAL
MPTO;TOCUMEN INTL;PANAMA;;PANAMA;AMERICA CENTRAL
MRLB;DANIEL ODUBER INTERNATIONAL AIRPORT;;;COSTA RICA;AMERICA CENTRAL
MROC;SAN JOSE/JUAN SANTAMARIA;SAN JOSE/JUAN SANTAMARIA;;COSTA RICA;AMERICA CENTRAL
MRSJ;AIRPORT SAN JOSE CIUDAD;SAN JOSE;;COSTA RICA;AMERICA CENTRAL
MSLP;SAN SALVADOR;SAN SALVADOR;;EL SALVADOR;AMERICA CENTRAL
MTPP;AEROPORTO INTERNACIONAL TOUSSAINT LOUVERTURE;PORT-DE-PAIX;;HAITI;AMERICA CENTRAL
MUCA;MAÅXIMO GOMEZ AIRPORT;;;CUBA;AMERICA CENTRAL
MUCC;JARDINES DEL REY AIRPORT;;;CUBA;AMERICA CENTRAL
MUCL;VILO ACUNA AIRPORT (JUAN VITALIO ACUNA AIRPORT);;;CUBA;AMERICA CENTRAL
MUCM;IGN√ÅCIO AGRAMONTE INTERNATIONL AIRPORT;CAMAGUEY;;CUBA;AMERICA CENTRAL
MUCU;ANTONIO MACEO AIRPORT;;;CUBA;AMERICA CENTRAL
MUHA;HAVANA;HAVANA;;CUBA;AMERICA CENTRAL
MUHG;FRANK PA√çS AIRPORT;;;CUBA;AMERICA CENTRAL
MULB;CIUDAD LIBERTAD AIRPORT;;;CUBA;AMERICA CENTRAL
MUSC;SANTA CLARA;SANTA CLARA;;CUBA;AMERICA CENTRAL
MUVR;JUAN GUALBERTO GOMEZ AIRPORT;;;CUBA;AMERICA CENTRAL
MYGF;GRAND BAHAMA INTERNATIONAL AIRPORT;;;BAHAMAS;AMERICA CENTRAL
MYNN;AEROPORTO INTERNACIONAL LYNDEN PINDLING;NASSAU/INTL NEW PROVIDENCE;;BAHAMAS;AMERICA CENTRAL
NZCH;CHRISTCHURCH;CHRISTCHURCH;;NOVA ZELANDIA;OCEANIA
OAMS;MAZAR AIRPORT;;;AFEGANISTAO;ASIA
OEJN;KING ABDULAZIZ INTERNATIONAL AIRPORT;;;ARAÅBIA SAUDITA;ASIA
OEMA;PRINCE MOHAMMAD BIN ABDULAZIZ AIRPORT;;;ARAÅBIA SAUDITA;ASIA
OERK;RIAD/KING KHALED INTL;RIAD/KING KHALED INTL;;ARAÅBIA SAUDITA;ASIA
OMAA;AB DHABI INTERNATIONAL;AB DHABI INTERNATIONAL;;EMIRADOSAÅRABES UNIDOS;ASIA
OMDB;DUBAI;DUBAI INTERNATIONAL;;EMIRADOSAÅRABES UNIDOS;ASIA
OMDW;DUBAI INTERNATIONAL AIRPORT;;;EMIRADOSAÅRABES UNIDOS;ASIA
OMSJ;SHARJAH INTERNATIONAL AIRPORT;SHARJAH;;EMIRADOSAÅRABES UNIDOS;ASIA
OOMS;MUSCAT INTERNATIONAL AIRPORT;MUSCAT;;OMA;ASIA
OSDI;DAMASCUS;DAMASCUS;;SIçRIA;ASIA
OTBD;DOHA INTERNATIONAL AIRPORT;DOHA;;QATAR;ASIA
OTHH;HAMAD INTERNATIONAL AIRPORT;;;QATAR;ASIA
PANC;TED STEVENS ANCHORAGE INTERNATIONAL AIRPORT;ANCHORAGE;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
RJAA;NARITA INTERNATIONAL AIRPORT;TOKIO;;JAPAO;ASIA
RJCC;NEW CHITOSE AIRPORT;CHITOSE;;JAPAO;ASIA
RKSI;INCHEON INTERNATIONAL AIRPORT;INCHON INTL;;COREIA DO SUL;ASIA
RKSS;GIMPO INTERNATIONAL AIRPORT;SEUL;;COREIA DO SUL;ASIA
SAAR;ROSARIO - ISLAS MALVINAS INTERNATIONAL AIRPORT;ROS¡RIO;;ARGENTINA;AMERICA DO SUL
SABE;JORGE NEWBERY AIRPORT;BUENOS AIRES/AEROPARQUE;;ARGENTINA;AMERICA DO SUL
SACO;INGENIERO AMBROSIO L.V. TARAVELLA INTERNATIONAL AIRPORT;CORDOBA;;ARGENTINA;AMERICA DO SUL
SAEZ;MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT);BUENOS AIRES;;ARGENTINA;AMERICA DO SUL
SAIG;IGUAZU;IGUAZU;;ARGENTINA;AMERICA DO SUL
SAME;GOVERNOR FRANCISCO GABRIELLI INTERNATIONAL AIRPORT (EL PLUMERILLO INT¬¥L);MENDOZA;;ARGENTINA;AMERICA DO SUL
SAMI;SAN MART√çN AIRPORT;;;ARGENTINA;AMERICA DO SUL
SAMM;COMODORO D. RICARDO SALOM√ìN AIRPORT;MALARGUE,MZA;;ARGENTINA;AMERICA DO SUL
SAMQ;MENDOZA, MZA;MENDOZA, MZA;;ARGENTINA;AMERICA DO SUL
SANT;TTE. GRAL. BENJAM√çN MATIENZO INTERNATIONAL AIRPORT;TUCUMAN/TEN BENJAMIIM MATIE;;ARGENTINA;AMERICA DO SUL
SARC;DOCTOR FERNANDO PIRAGINE NIVEYRO INTERNATIONAL AIRPORT;;;ARGENTINA;AMERICA DO SUL
SARE;RESISTENCIA INTERNATIONAL AIRPORT;RESISTENCIA;;ARGENTINA;AMERICA DO SUL
SARI;CATARATAS DEL IGUAZ√ö INTERNATIONAL AIRPORT (IGUAZ√ö FALLS);IGUAZU;;ARGENTINA;AMERICA DO SUL
SASA;MART√çN MIGUEL DE G√úEMES INTERNATIONAL AIRPORT (EL AYBAL AIRPORT);SALTA,S;;ARGENTINA;AMERICA DO SUL
SASO;OR√ÅN AIRPORT;;;ARGENTINA;AMERICA DO SUL
SAVT;ALMIRANTE MARCO ANDR√âS ZAR AIRPORT;;;ARGENTINA;AMERICA DO SUL
SAZC;BRIGADIER HECTOR EDUARDO RUIZ AIRPORT;;;ARGENTINA;AMERICA DO SUL
SAZE;PIGUE;PIGUE;;ARGENTINA;AMERICA DO SUL
SAZM;ASTOR PIAZZOLLA INTERNATIONAL AIRPORT;;;ARGENTINA;AMERICA DO SUL
SAZN;PRESIDENTE PER√ìN INTERNATIONAL AIRPORT;NEUQUEN;;ARGENTINA;AMERICA DO SUL
SAZS;SAN CARLOS DE BARILOCHE AIRPORT;SAN CARLOS DE BARILOCHE;;ARGENTINA;AMERICA DO SUL
SBAA;CONCEI«√O DO ARAGUAIA;CONCEI«√O DO ARAGUAIA;PA;BRASIL;AMERICA DO SUL
SBAE;BAURU/AREALVA;AREALVA;SP;BRASIL;AMERICA DO SUL
SBAF;CAMPO DOS AFONSOS;RIO DE JANEIRO;RJ;BRASIL;AMERICA DO SUL
SBAG;ANGRA DOS REIS  ;ANGRA DOS REIS  ;RJ;BRASIL;AMERICA DO SUL
SBAM;AMAP¡;AMAP¡;AP;BRASIL;AMERICA DO SUL
SBAN;BASE AEREA DE ANAPOLIS;AN¡POLIS;GO;BRASIL;AMERICA DO SUL
SBAQ;BARTOLOMEU DE GUSM√O;ARARAQUARA;SP;BRASIL;AMERICA DO SUL
SBAR;SANTA MARIA;ARACAJU;SE;BRASIL;AMERICA DO SUL
SBAS;MARCELO PIRES HALZHAUSEN;ASSIS;SP;BRASIL;AMERICA DO SUL
SBAT;DEPUTADO BENEDITO SANTIAGO;ALTA FLORESTA;MT;BRASIL;AMERICA DO SUL
SBAU;ESTADUAL DARIO GUARITA;ARA«ATUBA;SP;BRASIL;AMERICA DO SUL
SBAV;USINA PORTO PRIMAVERA ;TEODORO SAMPAIO;SP;BRASIL;AMERICA DO SUL
SBAX;ROMEU ZEMA;ARAX¡;MG;BRASIL;AMERICA DO SUL
SBBE;VAL DE CANS;BEL…M;PA;BRASIL;AMERICA DO SUL
SBBG;COMANDANTE GUSTAVO KRAEMER;BAG…;RS;BRASIL;AMERICA DO SUL
SBBH;PAMPULHA - CARLOS DRUMMOND DE ANDRADE;BELO HORIZONTE;MG;BRASIL;AMERICA DO SUL
SBBI;BACACHERI;CURITIBA;PR;BRASIL;AMERICA DO SUL
SBBQ;MAJOR BRIGADEIRO DO AR DOORGAL GOMES;BARBACENA;MG;BRASIL;AMERICA DO SUL
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK;BRASÕLIA;DF;BRASIL;AMERICA DO SUL
SBBT;CHAFEI AMSEI;BARRETOS;SP;BRASIL;AMERICA DO SUL
SBBU;BAURU;BAURU;SP;BRASIL;AMERICA DO SUL
SBBV;ATLAS BRASIL CANTANHEDE;BOA VISTA;RR;BRASIL;AMERICA DO SUL
SBBW;BARRA DO GAR«AS;BARRA DO GAR«AS;MT;BRASIL;AMERICA DO SUL
SBBZ;UMBERTO MODIANO ;ARMA«√O DE B⁄ZIOS;RJ;BRASIL;AMERICA DO SUL
SBCA;ADALBERTO MENDES DA SILVA;CASCAVEL;PR;BRASIL;AMERICA DO SUL
SBCB;CABO FRIO;CABO FRIO;RJ;BRASIL;AMERICA DO SUL
SBCC;CACHIMBO;NOVO PROGRESSO;PA;BRASIL;AMERICA DO SUL
SBCD;CARLOS ALBERTO DA COSTA NEVES;CA«ADOR;SC;BRASIL;AMERICA DO SUL
SBCF;TANCREDO NEVES;CONFINS;MG;BRASIL;AMERICA DO SUL
SBCG;CAMPO GRANDE;CAMPO GRANDE;MS;BRASIL;AMERICA DO SUL
SBCH;SERAFIN ENOSS BERTASO;CHAPEC”;SC;BRASIL;AMERICA DO SUL
SBCI;BRIGADEIRO LYSIAS AUGUSTO RODRIGUES;CAROLINA;MA;BRASIL;AMERICA DO SUL
SBCJ;CARAJ¡S;PARAUAPEBAS;PA;BRASIL;AMERICA DO SUL
SBCM;DIOMÕCIO FREITAS;FORQUILHINHA;SC;BRASIL;AMERICA DO SUL
SBCN;NELSON RODRIGUES GUIMAR√ES;CALDAS NOVAS;GO;BRASIL;AMERICA DO SUL
SBCO;CANOAS;CANOAS;RS;BRASIL;AMERICA DO SUL
SBCP;BARTOLOMEU LISANDRO;CAMPOS DOS GOYTACAZES;RJ;BRASIL;AMERICA DO SUL
SBCR;CORUMB¡;CORUMB¡;MS;BRASIL;AMERICA DO SUL
SBCT;AFONSO PENA;S√O JOS… DOS PINHAIS;PR;BRASIL;AMERICA DO SUL
SBCV;CARAVELAS;CARAVELAS;BA;BRASIL;AMERICA DO SUL
SBCX;REGIONAL HUGO CANTERGIANI;CAXIAS DO SUL;RS;BRASIL;AMERICA DO SUL
SBCY;MARECHAL RONDON;V¡RZEA GRANDE;MT;BRASIL;AMERICA DO SUL
SBCZ;CRUZEIRO DO SUL;CRUZEIRO DO SUL;AC;BRASIL;AMERICA DO SUL
SBDB;BONITO;BONITO;MS;BRASIL;AMERICA DO SUL
SBDN;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;SP;BRASIL;AMERICA DO SUL
SBDO;AEROPORTO MUNCIPAL DE DOURADOS;DOURADOS;MS;BRASIL;AMERICA DO SUL
SBEG;EDUARDO GOMES;MANAUS;AM;BRASIL;AMERICA DO SUL
SBEK;JACAREACANGA;JACAREACANGA;PA;BRASIL;AMERICA DO SUL
SBFC;TENENTE LUND PRESETTO;FRANCA;SP;BRASIL;AMERICA DO SUL
SBFI;CATARATAS;FOZ DO IGUA«U;PR;BRASIL;AMERICA DO SUL
SBFL;HERCÕLIO LUZ;FLORIAN”POLIS;SC;BRASIL;AMERICA DO SUL
SBFN;FERNANDO DE NORONHA;FERNANDO DE NORONHA;PE;BRASIL;AMERICA DO SUL
SBFZ;PINTO MARTINS;FORTALEZA;CE;BRASIL;AMERICA DO SUL
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO/GALE√O ñ ANTONIO CARLOS JOBIM;RIO DE JANEIRO;RJ;BRASIL;AMERICA DO SUL
SBGM;GUAJAR¡-MIRIM;GUAJAR¡-MIRIM;RO;BRASIL;AMERICA DO SUL
SBGO;SANTA GENOVEVA;GOI¬NIA;GO;BRASIL;AMERICA DO SUL
SBGP;EMBRAER-UNIDADE GAVIAO PEIXOTO;GAVI√O PEIXOTO;SP;BRASIL;AMERICA DO SUL
SBGR;GUARULHOS - GOVERNADOR ANDR… FRANCO MONTORO;GUARULHOS;SP;BRASIL;AMERICA DO SUL
SBGS;PONTA GROSSA;PONTA GROSSA;PR;BRASIL;AMERICA DO SUL
SBGU;TANCREDO THOMAS DE FARIA;GUARAPUAVA;PR;BRASIL;AMERICA DO SUL
SBGV;CORONEL ALTINO MACHADO;GOVERNADOR VALADARES;MG;BRASIL;AMERICA DO SUL
SBHT;ALTAMIRA;ALTAMIRA;PA;BRASIL;AMERICA DO SUL
SBIC;ITACOATIARA;ITACOATIARA;AM;BRASIL;AMERICA DO SUL
SBIH;ITAITUBA;ITAITUBA;PA;BRASIL;AMERICA DO SUL
SBIL;BAHIA - JORGE AMADO;ILH…US;BA;BRASIL;AMERICA DO SUL
SBIP;USIMINAS;SANTANA DO PARAÕSO;MG;BRASIL;AMERICA DO SUL
SBIT;Aeroporto de Itumbiara - Francisco Vilela do Amaral;Itumbiara;GO;BRASIL;AMERICA DO SUL
SBIZ;PREFEITO RENATO MOREIRA;IMPERATRIZ;MA;BRASIL;AMERICA DO SUL
SBJA;REGIONAL SUL;JAGUARUNA;SC; BRASIL;AMERICA DO SUL
SBJC;J⁄LIO CESAR;BEL…M;PA;BRASIL;AMERICA DO SUL
SBJD;AEROPORTO DE JUNDIAÕ;JUNDIAÕ;SP;BRASIL;AMERICA DO SUL
SBJF;FRANCISCO DE ASSIS;JUIZ DE FORA;MG;BRASIL;AMERICA DO SUL
SBJI;JI-PARAN¡;JI-PARAN¡;RO;BRASIL;AMERICA DO SUL
SBJP;PRESIDENTE CASTRO PINTO;BAYEUX;PB;BRASIL;AMERICA DO SUL
SBJR;JACAREPAGU¡/RJ - ROBERTO MARINHO;RIO DE JANEIRO;RJ;BRASIL;AMERICA DO SUL
SBJU;ORLANDO BEZERRA DE MENEZES;JUAZEIRO DO NORTE;CE;BRASIL;AMERICA DO SUL
SBJV;LAURO CARNEIRO DE LOYOLA;JOINVILLE;SC;BRASIL;AMERICA DO SUL
SBKG;PRESIDENTE JO√O SUASSUNA;CAMPINA GRANDE;PB;BRASIL;AMERICA DO SUL
SBKP;VIRACOPOS;CAMPINAS;SP;BRASIL;AMERICA DO SUL
SBLE;HOR¡CIO DE MATTOS;LEN«”IS;BA;BRASIL;AMERICA DO SUL
SBLJ;CORREIA PINTO;LAGES;SC;BRASIL;AMERICA DO SUL
SBLN;GOVERNADOR LUCAS NOGUEIRA GARCEZ;LINS;SP;BRASIL;AMERICA DO SUL
SBLO;GOVERNADOR JOS… RICHA;LONDRINA;PR;BRASIL;AMERICA DO SUL
SBLP;BOM JESUS DA LAPA;BOM JESUS DA LAPA;BA;BRASIL;AMERICA DO SUL
SBMA;MARAB¡;MARAB¡;PA;BRASIL;AMERICA DO SUL
SBMC;MINA«U;MINA«U;GO;BRASIL;AMERICA DO SUL
SBMD;MONTE DOURADO;ALMEIRIM;PA;BRASIL;AMERICA DO SUL
SBME;MACA…;MACA…;RJ;BRASIL;AMERICA DO SUL
SBMG;REGIONAL DE MARING¡ - SÕLVIO NAME J⁄NIOR;MARING¡;PR;BRASIL;AMERICA DO SUL
SBMH;MARING¡;MARING¡;PR;BRASIL;AMERICA DO SUL
SBMK;M¡RIO RIBEIRO;MONTES CLAROS;MG;BRASIL;AMERICA DO SUL
SBML;FRANK MILOYE MILENKOVICH;MARÕLIA;SP;BRASIL;AMERICA DO SUL
SBMN;PONTA PELADA ;MANAUS;AM;BRASIL;AMERICA DO SUL
SBMO;ZUMBI DOS PALMARES;RIO LARGO;AL;BRASIL;AMERICA DO SUL
SBMQ;MACAP¡;MACAP¡;AP;BRASIL;AMERICA DO SUL
SBMS;DIX-SEPT ROSADO;MOSSOR”;RN;BRASIL;AMERICA DO SUL
SBMT;CAMPO DE MARTE;S√O PAULO;SP;BRASIL;AMERICA DO SUL
SBMY;MANICOR…;MANICOR…;AM;BRASIL;AMERICA DO SUL
SBNF;MINISTRO VICTOR KONDER;NAVEGANTES;SC;BRASIL;AMERICA DO SUL
SBNM;SANTO ¬NGELO;SANTO ¬NGELO;RS;BRASIL;AMERICA DO SUL
SBNT;AUGUSTO SEVERO;PARNAMIRIM;RN;BRASIL;AMERICA DO SUL
SBOI;OIAPOQUE;OIAPOQUE;AP;BRASIL;AMERICA DO SUL
SBPA;SALGADO FILHO;PORTO ALEGRE;RS;BRASIL;AMERICA DO SUL
SBPB;PREFEITO DOUTOR JO√O SILVA FILHO;PARNAÕBA;PI;BRASIL;AMERICA DO SUL
SBPC;EMBAIXADOR WALTHER MOREIRA SALLES;PO«OS DE CALDAS;MG;BRASIL;AMERICA DO SUL
SBPF;LAURO KURTZ;PASSO FUNDO;RS;BRASIL;AMERICA DO SUL
SBPJ;BRIGADEIRO LYSIAS RODRIGUES;PALMAS;TO;BRASIL;AMERICA DO SUL
SBPK;PELOTAS;PELOTAS;RS;BRASIL;AMERICA DO SUL
SBPL;SENADOR NILO COELHO;PETROLINA;PE;BRASIL;AMERICA DO SUL
SBPM;PALMAS ;PALMAS;TO;BRASIL;AMERICA DO SUL
SBPN;PORTO NACIONAL;PORTO NACIONAL;TO;BRASIL;AMERICA DO SUL
SBPP;PONTA POR√;PONTA POR√;MS;BRASIL;AMERICA DO SUL
SBPS;PORTO SEGURO;PORTO SEGURO;BA;BRASIL;AMERICA DO SUL
SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;PORTO VELHO;RO;BRASIL;AMERICA DO SUL
SBQV;VIT”RIA DA CONQUISTA;VIT”RIA DA CONQUISTA;BA;BRASIL;AMERICA DO SUL
SBRB;PL¡CIDO DE CASTRO;SENA MADUREIRA;AC;BRASIL;AMERICA DO SUL
SBRD;RONDON”POLIS;RONDON”POLIS;MT;BRASIL;AMERICA DO SUL
SBRF;GUARARAPES - GILBERTO FREYRE;RECIFE;PE;BRASIL;AMERICA DO SUL
SBRG;RIO GRANDE;RIO GRANDE;RS;BRASIL;AMERICA DO SUL
SBRJ;SANTOS DUMONT;RIO DE JANEIRO;RJ;BRASIL;AMERICA DO SUL
SBRP;LEITE LOPES;RIBEIR√O PRETO;SP;BRASIL;AMERICA DO SUL
SBSC;BARTOLOMEU DE GUSMAO  ;RIO DE JANEIRO;RJ;BRASIL;AMERICA DO SUL
SBSG;S√O GON«ALO DO AMARANTE;S√O GON«ALO DO AMARANTE;RN;BRASIL;AMERICA DO SUL
SBSJ;PROFESSOR URBANO ERNESTO STUMPF;S√O JOS… DOS CAMPOS;SP;BRASIL;AMERICA DO SUL
SBSL;MARECHAL CUNHA MACHADO;S√O LUÕS;MA;BRASIL;AMERICA DO SUL
SBSM;SANTA MARIA;SANTA MARIA;RS;BRASIL;AMERICA DO SUL
SBSN;MAESTRO WILSON FONSECA;SANTAR…M;PA;BRASIL;AMERICA DO SUL
SBSP;CONGONHAS;S√O PAULO;SP;BRASIL;AMERICA DO SUL
SBSR;PROFESSOR ERIBERTO MANOEL REINO;S√O JOS… DO RIO PRETO;SP;BRASIL;AMERICA DO SUL
SBST;BASE AEREA;SANTOS;SP;BRASIL;AMERICA DO SUL
SBSV;DEPUTADO LUÕS EDUARDO MAGALH√ES;SALVADOR;BA;BRASIL;AMERICA DO SUL
SBTB;TROMBETAS;ORIXIMIN¡;PA;BRASIL;AMERICA DO SUL
SBTC;HOTEL TRANSAM…RICA;UNA;BA;BRASIL;AMERICA DO SUL
SBTD;LUÕS DAL CANALLE FILHO;TOLEDO;PR;BRASIL;AMERICA DO SUL
SBTE;SENADOR PETR‘NIO PORTELLA;TERESINA;PI;BRASIL;AMERICA DO SUL
SBTF;TEF…;TEF…;AM;BRASIL;AMERICA DO SUL
SBTG;AEROPORTO REGIONAL PLÕNIO ALARCON;TR S LAGOAS;MS;BRASIL;AMERICA DO SUL
SBTK;TARAUAC¡;TARAUAC¡;AC;BRASIL;AMERICA DO SUL
SBTL;TEL MACO BORBA;TEL MACO BORBA;PR;BRASIL;AMERICA DO SUL
SBTR;TORRES;TORRES;RS;BRASIL;AMERICA DO SUL
SBTS;TIRIOS;”BIDOS;PA;BRASIL;AMERICA DO SUL
SBTT;TABATINGA;TABATINGA;AM;BRASIL;AMERICA DO SUL
SBTU;TUCURUÕ;TUCURUÕ;PA;BRASIL;AMERICA DO SUL
SBTV;TERRAVISTA;PORTO SEGURO;BA;BRASIL;AMERICA DO SUL
SBUA;S√O GABRIEL DA CACHOEIRA;S√O GABRIEL DA CACHOEIRA;AM;BRASIL;AMERICA DO SUL
SBUF;PAULO AFONSO;PAULO AFONSO;BA;BRASIL;AMERICA DO SUL
SBUG;RUBEM BERTA;URUGUAIANA;RS;BRASIL;AMERICA DO SUL
SBUL;TENENTE-CORONEL AVIADOR C…SAR BOMBONATO;UBERL¬NDIA;MG;BRASIL;AMERICA DO SUL
SBUR;M¡RIO DE ALMEIDA FRANCO;UBERABA;MG;BRASIL;AMERICA DO SUL
SBUY;URUCU;COARI;AM;BRASIL;AMERICA DO SUL
SBVG;MAJOR BRIGADEIRO TROMPOWSKY;VARGINHA;MG;BRASIL;AMERICA DO SUL
SBVH;BRIGADEIRO CAMAR√O;VILHENA;RO;BRASIL;AMERICA DO SUL
SBVT;EURICO DE AGUIAR SALLES;VIT”RIA;ES;BRASIL;AMERICA DO SUL
SBYA;IAUARET ;S√O GABRIEL DA CACHOEIRA;AM;BRASIL;AMERICA DO SUL
SBYS;CAMPO FONTENELLE/ACADEMIA DA FOR«A A…REA;PIRASSUNUNGA;SP;BRASIL;AMERICA DO SUL
SBZM;REGIONAL DA ZONA DA MATA;GOIAN¡;MG;BRASIL;AMERICA DO SUL
SCAR;CHACALLUTA INTERNATIONAL AIRPORT;ARICA;;CHILE;AMERICA DO SUL
SCCF;EL LOA AIRPORT;;;CHILE;AMERICA DO SUL
SCCI;CARLOS IBANEZ DEL CAMPO INTERNATIONAL AIRPORT;PUNTA ARENAS;;CHILE;AMERICA DO SUL
SCDA;DIEGO ARACENA INTERNATIONAL AIRPORT;IQUIQUE;;CHILE;AMERICA DO SUL
SCEL;COMODORO ARTURO MERINO BEN√çTEZ INTERNATIONAL AIRPORT;SANTIAGO DO CHILE;;CHILE;AMERICA DO SUL
SCFA;CERRO MORENO INTERNATIONAL AIRPORT;ANTOFAGASTA;;CHILE;AMERICA DO SUL
SCIE;CARRIEL SUR INTERNATIONAL AIRPORT;CONCEPCION/CARRIEL SUR;;CHILE;AMERICA DO SUL
SCQP;LA ARAUCANIA AIRPORT;;;CHILE;AMERICA DO SUL
SCTE;EL TEPUAL INTERNATIONAL AIRPORT;PUERTO MONTT INTL EL TEPU;;CHILE;AMERICA DO SUL
SCTI;LOS CERRILLOS AIRPORT;SANTIAGO LOS CERILLOS;;CHILE;AMERICA DO SUL
SDAA;ARARAS;ARARAS;SP;BRASIL;AMERICA DO SUL
SDAG;ANGRA DOS REIS;ANGRA DOS REIS;RJ;BRASIL;AMERICA DO SUL
SDAM;AMARAIS;CAMPINAS;SP;BRASIL;AMERICA DO SUL
SDBB;BEBEDOURO;BEBEDOURO;SP;BRASIL;AMERICA DO SUL
SDBK;TANCREDO DE ALMEIDA NEVES;BOTUCATU;SP;BRASIL;AMERICA DO SUL
SDCG;SENADORA EUNICE MICHILES;S√O PAULO DE OLIVEN«A;AM;BRASIL;AMERICA DO SUL
SDCO;SOROCABA;SOROCABA;SP;BRASIL;AMERICA DO SUL
SDFR;CABO FRIO;CABO FRIO;RJ;BRASIL;AMERICA DO SUL
SDLK;CACUL…;CACUL…;BA;BRASIL;AMERICA DO SUL
SDLU;FAZENDA SANTA LUZIA;BARRA BONITA;SP;BRASIL;AMERICA DO SUL
SDMC;MARIC¡;MARIC¡;RJ;BRASIL;AMERICA DO SUL
SDOU;OURINHOS;OURINHOS;SP;BRASIL;AMERICA DO SUL
SDOV;MOZARL¬NDIA;MOZARL¬NDIA;GO;BRASIL;AMERICA DO SUL
SDOW;OURIL¬NDIA DO NORTE;OURIL¬NDIA DO NORTE;PA;BRASIL;AMERICA DO SUL
SDPA;FAZ. PORTO BELO;MANGARATIBA;RJ;BRASIL;AMERICA DO SUL
SDRS;RESENDE;RESENDE;RJ;BRASIL;AMERICA DO SUL
SDSC;M¡RIO PEREIRA LOPES;S√O CARLOS;SP;BRASIL;AMERICA DO SUL
SDTK;PARATI;PARATI;RJ;BRASIL;AMERICA DO SUL
SDUB;GAST√O MADEIRA;UBATUBA;SP;BRASIL;AMERICA DO SUL
SDUN;ITAPERUNA;ITAPERUNA;RJ;BRASIL;AMERICA DO SUL
SDVE;VERA CRUZ;VERA CRUZ;SP;BRASIL;AMERICA DO SUL
SDVG;DOMINGOS PIGNATARI;VOTUPORANGA;SP;BRASIL;AMERICA DO SUL
SDZY;AEROPORTO REGIONAL DE ZONA DA MATA;JUIZ DE FORA/UB¡/CATAGUASES;MG;BRASIL;AMERICA DO SUL
SEGU;JOSE  JOAQUIçN DE OLMEDO INTERNATIONAL AIRPORT;GUAYAQUIL;;EQUADOR;AMERICA DO SUL
SELT;COTOPAXI INTERNATIONAL AIRPORT;LATACUNGA;;EQUADOR;AMERICA DO SUL
SEMT;ELOY ALFARO INTERNATIONAL AIRPORT;MANTA;;EQUADOR;AMERICA DO SUL
SEQM;MARISCAL SUCRE INTERNATIONAL AIRPORT;TABABELA;;EQUADOR;AMERICA DO SUL
